words,emotion,questioning,WordType,Conversation
,,,,
the,0,0,,
of,0,0,,
and,0,0,,
to,0,0,,
a,0,0,,
in,0,0,,
for,0,0,,
is,0,0,2,
on,0,0,,
that,0,0,,
by,0,0,,
this,0,0,,
with,0,0,,
i,0,0,4,
you,0,0,4,
it,0,0,,
not,0,0,,
or,0,0.5,,
be,0,0,2,
are,0,0,2,
from,0,0,,
at,0,0,,
as,0,0,,
your,0,0,,
all,0,0,,
have,0,0,2,1
new,0,0,,
more,0,0,,
an,0,0,,
was,0,0,2,
we,0,0,4,
will,0,0.5,2,
home,0,0,3,
can,0,0.9,2,
us,0,0,,
about,0,0,,
if,0,0.3,,
page,0,0,3,1
my,0,0,,
has,0,0,2,
search,0,0,3,1
free,0,0,,
but,0,0,,
our,0,0,,
one,0,0,,
other,0,0,,
do,0,0.8,2,1
no,0,0,,
information,0,0,3,1
time,0,0,3,1
they,0,0,4,
site,0,0,3,1
he,0,0,4,
up,0,0,,
may,0,0.3,,
what,0,0.9,1,
which,0,0.5,1,
their,0,0,,
news,0,0,3,1
out,0,0,,
use,0,0,2,1
any,0,0.4,,
there,0,0,,
see,0,0,2,1
only,0,0,,
so,0,0,,
his,0,0,,
when,0,0.8,1,
contact,0,0,,
here,0,0,,
business,0,0,3,1
who,0,0.6,1,
web,0,0,3,1
also,0,0,,
now,0,0,,
help,-1,0,3,
get,0,0,2,1
view,0,0,2,1
online,0,0,,
first,0,0,,
am,0,0,2,
been,0,0,,
would,0,0.4,2,
how,0,0.9,1,
were,0,0,2,
me,0,0,,
services,0,0,3,1
some,0,0,,
these,0,0,,
click,0,0,,
can't,0,0,2,
like,1,0,2,1
service,0,0,3,1
than,0,0,,
